Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Avg Ground Contact Time,Avg GCT Balance,Avg Run Cadence,Max Run Cadence,Training Stress Score®,Avg Power,Max Power,Grit,Flow,Avg. Swolf,Avg Stroke Rate,Total Reps,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2022-12-17 08:16:26,false,"Verona Running","4,14","320","00:28:21","129","143","2,4","161","178","6:51","5:51","4","4","0,91","10,7","9,8","287","51,8% L / 48,2% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:52.95.8","5","0,0","00:28:19","00:28:27","62","70"
Running,2022-12-03 09:47:09,false,"Verona Running","5,01","380","00:27:32","150","177","3,4","167","179","5:30","4:22","8","9","1,09","9,4","10,4","262","52,5% L / 47,5% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.68.3","6","0,0","00:27:31","00:27:32","62","69"
Running,2022-11-29 17:31:53,false,"Verona Running","5,01","400","00:29:51","148","159","3,3","167","182","5:58","5:12","14","15","1,00","10,2","10,4","264","52,0% L / 48,0% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.28.6","6","0,0","00:29:49","00:29:51","59","65"
Running,2022-11-26 07:47:55,false,"Verona Running","3,22","256","00:20:05","141","157","2,8","163","190","6:14","5:28","11","12","0,98","10,2","10,2","274","52,0% L / 48,0% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","01:22.73.2","4","0,0","00:20:03","00:20:05","60","66"
Running,2022-11-23 16:53:55,false,"Verona Running","2,10","165","00:13:32","136","147","2,2","162","175","6:27","5:37","--","--","0,96","10,1","9,7","287","51,5% L / 48,5% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:42.56.9","3","0,0","00:13:32","00:13:32","60","66"
Running,2022-11-11 08:48:54,false,"Verona Running","5,00","376","00:31:46","135","153","3,0","165","179","6:21","5:06","17","19","0,96","10,1","9,7","276","51,8% L / 48,3% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.30.8","6","0,0","00:31:43","00:31:46","61","70"
Running,2022-11-06 09:52:50,false,"Verona Running","6,01","469","00:34:11","150","170","3,6","168","187","5:41","4:33","13","14","1,05","9,5","10,2","264","52,3% L / 47,7% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:02.09.5","7","0,0","00:34:09","00:34:11","63","70"
Running,2022-11-03 10:28:13,false,"Verona Running","8,01","613","00:45:52","149","175","4,0","166","188","5:44","4:15","24","22","1,05","9,8","10,3","267","52,2% L / 47,8% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:03.19","9","0,0","00:45:48","00:45:52","59","66"
Running,2022-11-01 08:12:45,false,"Verona Running","5,44","427","00:32:02","147","166","3,4","164","180","5:53","4:49","13","11","1,03","9,8","10,2","271","52,3% L / 47,7% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","02:41.87.8","6","0,0","00:32:02","00:32:02","59","65"
Running,2022-10-27 16:23:59,false,"Hasselt Running","8,01","620","00:45:23","156","171","4,0","165","171","5:40","5:02","42","47","1,07","9,5","10,4","268","51,9% L / 48,1% R","0","0","0,0","0","0","0,0","0,0","0","0","0","0:00","0,0","0:00","No","00:04.92.9","9","0,0","00:45:15","00:45:23","23","41"
